time,minor,rssi
45220,126,-89
45221,126,-89
45221,124,-96
45222,126,-89
45222,124,-92
45223,126,-89
45223,124,-90
45224,126,-89
45230,126,-84
45230,124,-86
45231,126,-80
45231,124,-88
45232,126,-87
45232,124,-89
45233,124,-88
45233,123,-98
45233,122,-93
45234,126,-86
45234,124,-83
45234,122,-96
45235,126,-85
45235,124,-89
45236,124,-82
45236,123,-92
45237,124,-82
45238,124,-83
45239,124,-81
45241,126,-90
45241,124,-74
45241,123,-88
45242,124,-63
45242,123,-88
45243,124,-61
45244,128,-93
45244,124,-56
45245,124,-64
45245,123,-90
45245,122,-90
45246,126,-93
45246,124,-75
45246,123,-90
45247,126,-101
45247,124,-84
45247,123,-95
45247,122,-94
45248,126,-97
45248,124,-79
45248,122,-89
45249,122,-91
45250,124,-80
45253,124,-83
45253,122,-83
45254,124,-86
45254,122,-82
45255,122,-83
45255,121,-88
45256,124,-95
45256,122,-80
45257,114,-98
45257,118,-96
45257,120,-100
45257,122,-76
45257,121,-94
45258,120,-90
45258,123,-93
45258,122,-82
45259,120,-89
45259,124,-89
45259,122,-83
45260,120,-88
45260,122,-81
45261,122,-80
45262,122,-73
45263,122,-81
45265,121,-89
45266,122,-88
45266,121,-87
45267,120,-92
45267,121,-81
45268,119,-86
45268,121,-74
45269,119,-88
45269,122,-92
45269,121,-78
45270,122,-96
45270,121,-72
45271,117,-95
45271,119,-89
45271,123,-99
45271,121,-66
45272,119,-91
45272,123,-97
45272,122,-95
45272,121,-58
45273,123,-91
45273,121,-63
45274,121,-74
45275,121,-70
45276,123,-86
45276,121,-67
45277,123,-85
45277,121,-73
45278,119,-95
45278,123,-87
45278,121,-73
45279,121,-68
45280,121,-70
45281,121,-72
45282,121,-71
45283,119,-103
45283,121,-71
45284,121,-74
45285,121,-72
45286,121,-69
45287,123,-90
45287,121,-75
45288,121,-76
45289,123,-88
45289,121,-74
45290,121,-81
45291,119,-100
45291,121,-87
45292,121,-70
45293,121,-72
45294,121,-73
45295,121,-75
45296,123,-90
45296,121,-77
45297,123,-94
45297,121,-74
45298,121,-79
45299,123,-89
45299,121,-73
45300,121,-74
45302,121,-75
45303,123,-95
45303,121,-79
