time,minor,rssi
15:51:20,127,-78
15:51:20,129,-67
15:51:21,129,-61
15:51:21,129,-62
15:51:21,131,-73
15:51:22,129,-65
15:51:22,129,-59
15:51:22,129,-51
15:51:23,129,-59
15:51:23,131,-75
15:51:23,129,-68
15:51:23,131,-70
15:51:24,129,-68
15:51:24,131,-74
15:51:24,129,-64
15:51:24,131,-69
15:51:24,145,-85
15:51:24,143,-80
15:51:24,127,-83
15:51:24,129,-69
15:51:24,131,-70
15:51:24,133,-75
15:51:24,143,-80
15:51:25,139,-79
15:51:25,137,-80
15:51:25,131,-72
15:51:25,133,-77
15:51:25,143,-81
15:51:25,127,-77
15:51:25,129,-71
15:51:25,131,-67
15:51:25,133,-76
15:51:25,143,-81
15:51:25,132,-78
15:51:26,139,-79
15:51:26,129,-67
15:51:26,131,-72
15:51:26,133,-73
15:51:26,143,-81
15:51:26,129,-70
15:51:26,133,-80
15:51:26,143,-82
15:51:26,129,-77
15:51:26,131,-64
15:51:26,123,-80
15:51:26,133,-75
15:51:26,143,-80
15:51:27,139,-79
15:51:27,127,-80
15:51:27,147,-86
15:51:27,129,-70
15:51:27,131,-64
15:51:27,135,-81
15:51:27,131,-72
15:51:27,133,-72
15:51:27,125,-80
15:51:27,129,-74
15:51:28,131,-66
15:51:28,133,-75
15:51:28,139,-80
15:51:28,129,-73
15:51:28,131,-61
15:51:28,121,-90
15:51:28,131,-63
15:51:28,132,-71
15:51:29,131,-68
15:51:29,132,-75
15:51:29,131,-69
15:51:29,132,-73
15:51:30,131,-68
15:51:30,131,-52
15:51:30,131,-56
15:51:31,131,-62
15:51:31,145,-86
15:51:31,131,-68
15:51:31,145,-85
15:51:32,145,-85
15:51:32,131,-63
15:51:32,131,-65
15:51:33,123,-91
15:51:33,131,-63
15:51:33,134,-77
15:51:34,131,-73
15:51:34,133,-75
15:51:34,131,-71
15:51:34,131,-68
15:51:35,131,-74
15:51:35,133,-70
15:51:35,147,-84
15:51:35,131,-69
