Time,x_avg,y_avg,x_sigma,y_sigma,"x,y °³¼ö"
152605,505.8981994,0,11.63353242,4.29443852,"[23, 23]"
,,,,,
152606,(507.50809264838534+0j),(-0.15887967604507952+0j),11.35436827,5.216747197,"[84, 84]"
,,,,,
152607,(501.1660496295473+0j),(0.2224024775133871+0j),22.66337317,5.728535902,"[54, 54]"
,,,,,
152608,(502.79955797315665+6.436075505073371e-18j),(0.4614515331331362+0j),22.90910264,6.076000176,"[138, 138]"
,,,,,
152609,522.8576485,-0.481738645,13.97773814,5.312149425,"[29, 29]"
,,,,,
152610,522.4546361,0,9.566338172,0,"[15, 15]"
,,,,,
152611,520.9194596,0,8.147356855,0,"[4, 4]"
,,,,,
152612,519.4161085,0,8.07544988,6.087012965,"[45, 45]"
,,,,,
152613,527.826283,0,0.304765051,0,"[2, 2]"
,,,,,
152614,520.9695059,0,7.497189775,4.594868444,"[15, 15]"
,,,,,
152615,518.8260585,0,7.193878721,5.642188226,"[13, 13]"
,,,,,
152616,524.6980499,0,12.27739971,5.905280368,"[12, 12]"
,,,,,
152617,(526.0537852318294+0j),0j,10.3598563,4.386882016,"[37, 37]"
,,,,,
152618,537.0705112,0,5.362840561,2.512816809,"[20, 20]"
,,,,,
152619,534.6719839,0,19.55146272,3.93133421,"[44, 44]"
,,,,,
152620,(536.8636753423393+0j),(3.608827133206876+0j),10.02706491,9.463304282,"[20, 20]"
,,,,,
152621,(539.2395410397398+0j),(0.12789852231916427+0j),16.65062995,4.034555156,"[85, 85]"
,,,,,
152622,540.218831,0,4.083370963,3.653163317,"[8, 8]"
,,,,,
152623,539.1571208,0,3.959264746,3.51533561,"[24, 24]"
,,,,,
152624,539.9402643,0.237008403,6.825355874,6.143031343,"[10, 10]"
,,,,,
152625,555.8276543,0,8.080842473,4.489594635,"[9, 9]"
,,,,,
152626,551.8376552,5.606124222,12.6870714,12.12781347,"[30, 30]"
,,,,,
152627,559.4505086,0.187419519,5.851564195,4.233545175,"[38, 38]"
,,,,,
152628,(560.3872296058728+0j),(-0.38722960587275534+0j),3.493694439,3.493694439,"[8, 8]"
,,,,,
152629,551.7430645,8.157979154,13.38870446,13.0488313,"[51, 51]"
,,,,,
152630,533.056047,20.89955386,11.08212188,7.514788973,"[26, 26]"
,,,,,
152631,(532.0771673837921+0j),(14.800405053277867+0j),21.86311735,10.3921692,"[122, 122]"
,,,,,
152632,533.9913662,20.20097833,27.92576278,6.235303385,"[22, 22]"
,,,,,
152633,534.2483112,20.38348229,13.05114177,5.926211423,"[35, 35]"
,,,,,
152634,520.6254471,20,9.374552865,0,"[2, 2]"
,,,,,
152635,530.3481506,20,11.96788942,4.085420132,"[15, 15]"
,,,,,
152636,528.4472842,20,0.925766244,0,"[2, 2]"
,,,,,
152637,520.0024088,20,7.014256842,5.151140402,"[5, 5]"
,,,,,
152639,516.6073103,20,10.9389086,3.230754763,"[28, 28]"
,,,,,
152640,514.916478,20,11.78151533,4.02532154,"[6, 6]"
,,,,,
152641,508.6076696,20,10.9485276,5.76585852,"[57, 57]"
,,,,,
152642,(515.9662267114511+0j),(20.24029042564753+0j),9.239153588,3.510899931,"[20, 20]"
,,,,,
152643,(513.3071820808818-1.1386902816668272e-17j),(20.46202139365344-3.416070845000482e-17j),11.90985732,4.754548162,"[78, 78]"
,,,,,
152644,460.4969398,20,38.90721482,2.974012298,"[15, 15]"
,,,,,
152645,505.3379569,19.86329345,24.81799254,5.163348335,"[112, 112]"
,,,,,
152646,488.9348163,20.32754617,33.40071369,3.871593785,"[23, 23]"
,,,,,
152647,509.6909712,20,1.559923094,0,"[2, 2]"
,,,,,
152648,499.5102222,20,8.199889959,6.023423277,"[10, 10]"
,,,,,
152650,499.6287711,20.37037037,4.178054723,4.024296123,"[24, 24]"
,,,,,
152651,499.8711696,20.33672456,2.21974771,2.367442288,"[8, 8]"
,,,,,
152652,499.1978888,19.6253765,6.276772106,6.784096569,"[36, 36]"
,,,,,
152653,507.6063168,20.96440877,11.61661758,5.009993011,"[10, 10]"
,,,,,
152654,(500.00897672517755+0j),(20+0j),1.571338134,1.557216981,"[48, 48]"
,,,,,
152655,493.7741031,20.15393123,21.32339413,3.931473375,"[35, 35]"
,,,,,
152656,(502.0197730619039+0j),(20.519052919753413+0j),8.887792693,5.504881018,"[46, 46]"
,,,,,
152657,468.3764268,20.13544369,33.99933167,7.736773438,"[16, 16]"
,,,,,
152658,484.7110623,20,27.34089687,4.668382926,"[85, 85]"
,,,,,
152659,491.2450676,20,0.876295093,0,"[4, 4]"
,,,,,
152700,488.4472842,20,0.925766244,0,"[2, 2]"
,,,,,
152701,478.8207049,20,9.798183057,7.076155239,"[5, 5]"
,,,,,
152702,490.6210012,20,1.247950725,0,"[2, 2]"
,,,,,
152703,480.2052491,20,7.799665642,3.839433367,"[9, 9]"
,,,,,
152704,461.3312464,21.73899869,28.80997827,8.622086388,"[13, 13]"
,,,,,
152705,481.461775,20.83090787,7.528784356,6.803286237,"[16, 16]"
,,,,,
152706,480,19.86073497,8.335724248,7.787046015,"[46, 46]"
,,,,,
152707,(467.1085509422814+0j),(20.541583216454303+0j),19.03900265,5.48910289,"[80, 80]"
,,,,,
152708,(467.63580621137726+0j),(20.092011299062985+0j),24.07697476,4.413757949,"[136, 136]"
,,,,,
152709,(458.9695060350237+0j),(19.95485362183569+0j),19.5985725,5.408677981,"[62, 62]"
,,,,,
152710,470.6141328,20.17735733,24.55774628,3.191459013,"[44, 44]"
,,,,,
152711,460,20.32655432,1.425161888,1.533296964,"[4, 4]"
,,,,,
152712,479.3862061,20,11.86468815,0,"[2, 2]"
,,,,,
152715,462.5646216,20.47454688,9.709912553,5.990610567,"[28, 28]"
,,,,,
152716,465.5734173,18.42658266,13.55204448,7.228087451,"[10, 10]"
,,,,,
152717,457.2424909,20,12.1308593,3.895308046,"[43, 43]"
,,,,,
152718,455.4081482,20,12.98550787,5.498608004,"[6, 6]"
,,,,,
152719,(446.46146447078996+0j),(18.569408094832774+0j),17.56474516,8.227125175,"[118, 118]"
,,,,,
152720,(451.89202574458665+0j),(19.79056862243683+0j),15.64830825,5.530022402,"[61, 61]"
,,,,,
152721,(439.0240884302616+0j),(19.89224911366119+0j),16.6600279,4.304093107,"[162, 162]"
,,,,,
152722,438.3232468,20.37461244,20.61446369,6.135894486,"[66, 66]"
,,,,,
152723,(453.05767303477217+0j),(20.07662838092272+0j),21.25317039,4.524872872,"[97, 97]"
,,,,,
152724,(440.0634963694546+0j),(20.06349636945457+0j),1.398611252,1.398611252,"[8, 8]"
,,,,,
152725,441.6910975,20,8.830831693,5.053257049,"[15, 15]"
,,,,,
152727,441.552828,20,6.054948651,5.153305672,"[36, 36]"
,,,,,
152728,440.4146132,20,2.075566614,1.947373719,"[4, 4]"
,,,,,
152729,(433.7299362965835+0j),(19.171703974699973+0j),11.05980628,6.813945114,"[64, 64]"
,,,,,
152730,437.3718846,20.30899994,9.330236702,3.305325052,"[18, 18]"
,,,,,
152731,429.1102779,19.23387661,17.44103209,7.982355766,"[100, 100]"
,,,,,
152732,(434.4324451946319+0j),(18.411636530499198+0j),21.0327999,7.807037247,"[54, 54]"
,,,,,
152733,(438.7393092743068+0j),(18.500681236839316+0j),20.43818709,8.562389739,"[177, 177]"
,,,,,
152734,446.7215844,19.78138335,17.42689603,9.235406968,"[26, 26]"
,,,,,
152735,409.0775074,20.77034003,15.965514,5.06130573,"[14, 14]"
,,,,,
152737,426.5574598,20,15.87725917,4.175081544,"[9, 9]"
,,,,,
152738,415.1036533,20.53526281,11.36829557,5.517179485,"[16, 16]"
,,,,,
152739,428.9696675,20,27.29157853,4.045732735,"[34, 34]"
,,,,,
152740,(420.2134501695212+0j),(18.366644053780316+0j),14.52234542,7.579890698,"[66, 66]"
,,,,,
152741,(416.95917610257595+3.6104813808948184e-18j),(17.57305953895546+0j),11.31176382,8.094650445,"[123, 123]"
,,,,,
152742,413.5843316,20.53456938,12.23591175,7.230968602,"[49, 49]"
,,,,,
152743,422.0262648,16.71743427,10.70208498,10.09244041,"[48, 48]"
,,,,,
152744,411.5599231,20,0.309028824,0,"[2, 2]"
,,,,,
152745,408.4436806,20,0.690133293,0,"[4, 4]"
,,,,,
152746,398.1704889,20,9.000127922,6.926342667,"[9, 9]"
,,,,,
152748,399.5579559,20.20227701,5.16880257,4.993460748,"[63, 63]"
,,,,,
152749,399.7423392,20,0.923245925,0.808217663,"[8, 8]"
,,,,,
152750,399.5425217,20.42859665,3.797005576,3.936232145,"[36, 36]"
,,,,,
152751,399.334553,19.94467448,4.114749246,4.285949423,"[21, 21]"
,,,,,
152752,(400.01472765086265+0j),(14.0603069489264+0j),4.730284362,11.1318433,"[31, 31]"
,,,,,
152753,402.3326726,9.273747532,9.224695503,10.21802542,"[10, 10]"
,,,,,
152754,400.7836605,4.1608476,8.269826747,10.30949411,"[173, 173]"
,,,,,
152755,401.7842948,1.787200082,6.254165957,6.333406116,"[14, 14]"
,,,,,
152756,(401.12658266171235+6.628197161941233e-18j),(2.539738213456283-3.3140985809706165e-18j),7.238513601,8.608808252,"[67, 67]"
,,,,,
152757,400.7915607,0,4.914751898,3.267488604,"[10, 10]"
,,,,,
152758,400.0911003,0,4.168825641,3.092247412,"[9, 9]"
,,,,,
152759,404.3263437,0,14.90333184,6.459616408,"[6, 6]"
,,,,,
152800,409.2047889,-0.449517503,11.87599988,5.762243657,"[35, 35]"
,,,,,
152801,418.9430099,-0.168639362,15.3806533,7.470801089,"[42, 42]"
,,,,,
152802,418.3317707,-0.441643957,10.62938512,6.192445716,"[35, 35]"
,,,,,
152803,418.7215802,0,5.237883666,4.590032218,"[16, 16]"
,,,,,
152804,430.4873943,0,32.6633371,4.597116025,"[18, 18]"
,,,,,
152805,(440.3264832382181+0j),(-0.08163858008429375+0j),38.14896282,1.289522704,"[16, 16]"
,,,,,
152806,439.3945603,0.861881294,34.9096766,6.458705404,"[38, 38]"
,,,,,
152807,(432.2387248150396+0j),(-0.3425063759457003+0j),27.52841513,4.424570756,"[34, 34]"
,,,,,
152808,(425.66549757233213+0j),(0.17052391071273357+0j),19.13731469,5.059990096,"[96, 96]"
,,,,,
152809,418.8888889,0,4.628814743,4.20977698,"[4, 4]"
,,,,,
152810,421.6582319,0,9.424099252,5.980442708,"[7, 7]"
,,,,,
152811,429.6931031,0,1.891879305,0,"[4, 4]"
,,,,,
152812,431.4491446,0,1.054481513,0,"[3, 3]"
,,,,,
152813,439.9895612,0,6.383427695,5.240098641,"[32, 32]"
,,,,,
152814,440.8922801,0,3.99069438,3.653163317,"[8, 8]"
,,,,,
152815,437.0303666,0.772792304,12.32497219,8.454194086,"[47, 47]"
,,,,,
152816,433.2005833,-0.103653305,12.17114033,2.153631821,"[16, 16]"
,,,,,
152817,(445.537900965393+0j),(2.323594888179508+0j),19.38425419,9.271270978,"[102, 102]"
,,,,,
152818,467.2492112,0,33.26614291,3.936607053,"[15, 15]"
,,,,,
152819,(461.436989756324+0j),(0.2192247949167576+0j),36.79858982,4.362680185,"[107, 107]"
,,,,,
152820,(450.8911457772819+0j),(-0.07996278892476344+0j),23.49395671,2.393155564,"[22, 22]"
,,,,,
152821,444.0909033,-0.433179215,9.706635445,4.553677955,"[22, 22]"
,,,,,
152823,450.9389219,0,0.311972369,0,"[4, 4]"
,,,,,
152824,450,0,0,0,"[1, 1]"
,,,,,
152825,455.8401674,0,10.22222575,4.23969137,"[39, 39]"
,,,,,
152827,458.0237245,0,8.17790152,4.703978125,"[12, 12]"
,,,,,
152828,457.4144274,0,10.06186929,3.092247412,"[9, 9]"
,,,,,
152829,459.4309512,-0.499129477,5.160839587,2.873015261,"[49, 49]"
,,,,,
152830,(464.9736028363142-1.057355261547768e-17j),(0.2812750494886017+1.057355261547768e-17j),18.54107592,4.649564256,"[42, 42]"
,,,,,
152831,(471.32287965933625+0j),(3.041487137700519+0j),18.11093846,9.681275945,"[148, 148]"
,,,,,
152832,(462.49963097443265+0j),(-0.059287832296263984+0j),9.650426323,3.971210535,"[41, 41]"
,,,,,
152833,463.7830299,5.38E-17,11.77524768,5.767348671,"[33, 33]"
,,,,,
152836,470.6269495,0,0,0,"[1, 1]"
,,,,,
152837,(471.00233291740034+0j),(-0.12433882323517152+0j),12.79846594,7.93578293,"[46, 46]"
,,,,,
152838,479.2867564,6.817312317,7.332469851,11.24520316,"[44, 44]"
,,,,,
152839,479.4052887,0,2.956840124,2.71923265,"[8, 8]"
